"label","translation","comment"
"Align:","Alineación :",
"Bandwidth adjustment:","Ajuste de ancho de banda :",
"Caption","Leyenda",
"Caption:","Leyenda :",
"Center","Centro",
"Close","Cerrar",
"Close Window","Cerrar Ventana",
"Code","Código",
"Code:","Código :",
"Color label","Etiqueta de color",
"Color label:","Etiqueta de color :",
"Color:","Color :",
"Copy to clipboard","Copiar al portapapeles",
"Data","Datos",
"Dataset","Conjuntos de datos",
"Display settings","Ajustes de visualización",
"Esquisse settings","Ajustes de Esquisse",
"Export chart","Exportar gráfico",
"Export format:","Formato de exportación :",
"Export to PowerPoint failed...","Exportación a PowerPoint fallida...",
"Facet ncol:","Número de columnas de facetas :",
"Facet nrow:","Número de filas de facetas :",
"Facet scales:","Escalas de facetas :",
"Filename","Nombre de archivo",
"Filename:","Nombre de archivo :",
"Fill label","Etiqueta de relleno de color",
"Fill label:","Etiqueta de relleno de color :",
"Font face:","Tipo de letra :",
"Font size:","Tamaño de letra :",
"Height:","Alto :",
"Import data","Importar datos",
"Import data to create a graph","Importar datos para crear un gráfico",
"Insert code in script","Insertar código en script",
"Labels & Title","Etiquetas & Título",
"Left","Izquierda",
"More options","Más opciones",
"Numbers of bins:","Número de intervalos :",
"Position:","Posición :",
"Reverse the order of colors?","¿Invertir el orden de los colores?",
"Ribbon color:","Color de la cinta :",
"Right","Derecha",
"Scale:","Escala :",
"Select aesthetics to be used to build a graph:","Seleccionar apariencias a usar para construir un gráfico :",
"Shape label","Etiqueta de forma",
"Shape label:","Etiqueta de forma :",
"Show data","Mostrar datos",
"Size label","Etiqueta de tamaño",
"Size label:","Etiqueta de tamaño :",
"Subtitle","Subtítulo",
"Subtitle:","Subtítulo :",
"Theme:","Tema :",
"Title","Título",
"Title:","Título :",
"Update Preview","Actualizar Previsualización",
"Use a color palette:","Usa una paleta de colores:",
"Use specific colors:","Usa colores específicos:",
"Width:","Ancho :",
"X label","Etiqueta del eje X",
"X label:","Etiqueta del eje X :",
"X-Axis transform:","Transformación del eje X :",
"Y label","Etiqueta del eje Y",
"Y label:","Etiqueta del eje Y :",
"Y-Axis transform:","Transformación del eje Y :",
"color points and lines","color de puntos y líneas",
"create small multiples","crear Múltiplos pequeños",
"create small multiples by columns","crear Múltiplos pequeños por columnas",
"create small multiples by rows","crear Múltiplos pequeños por filas",
"fill color for shapes","color de relleno de formas",
"frequency weights","pesos de frecuencia",
"identifies series of points with a grouping variable","identifica series de puntos con una variable de agrupamiento",
"shape of the points","forma de los puntos",
"size of the points","tamaño de los puntos",
"used in ribbons charts with ymax to display an interval between two lines","usado en gráficos de cintas con ymax para mostrar un intervalo entre dos líneas",
"used in ribbons charts with ymin to display an interval between two lines","usado en gráficos de cintas con ymin para mostrar un intervalo entre dos líneas",
"Aesthetic mappings describe how variables in the data are mapped to visual properties aesthetics of geoms.","Los mapeos estéticos describen cómo las variables de los datos se asignan a las propiedades visuales estéticas de las geomas.","Automatically translated"
"Always","Siempre","Automatically translated"
"Angle:","Ángulo:","Automatically translated"
"Axes","ejes","Automatically translated"
"Controls the amount of smoothing:","Controla la cantidad de suavizado:","Automatically translated"
"Create column","Crear columna","Automatically translated"
"Cut numeric variable into factor","Cortar variable numérica en factor","Automatically translated"
"Display confidence interval around smooth","Mostrar intervalo de confianza alrededor de suave","Automatically translated"
"Export","Exportar","Automatically translated"
"Geometries","Geometrias","Automatically translated"
"Horizontal justification:","Justificación horizontal:","Automatically translated"
"Justification:","Justificación:","Automatically translated"
"Level of confidence interval to use:","Nivel de intervalo de confianza a utilizar:","Automatically translated"
"Line width:","Ancho de línea:","Automatically translated"
"Never","Nunca","Automatically translated"
"No data to display","no hay información para mostrar","Automatically translated"
"Once per warning","Una vez por advertencia","Automatically translated"
"Options","Opciones","Automatically translated"
"Show notifications when the plot generate a warning:","Mostrar notificaciones cuando el gráfico genere una advertencia:","Automatically translated"
"Size for points:","Tamaño por puntos:","Automatically translated"
"Size:","Tamaño:","Automatically translated"
"Smoothing method:","Método de alisado:","Automatically translated"
"Stat summary function:","Función de resumen de estadísticas:","Automatically translated"
"Theme","Tema","Automatically translated"
"Update & select variables","Actualizar y seleccionar variables","Automatically translated"
"Update factor","factor de actualización","Automatically translated"
"Update variables","Actualizar variables","Automatically translated"
"Use {plotly} to render plot","Utilice {plotly} para representar la trama","Automatically translated"
"Vertical justification:","Justificación vertical:","Automatically translated"
"X-Axis limits empty for none:","Límites del eje X vacíos para ninguno:","Automatically translated"
"Y-Axis limits empty for none:","Límites del eje Y vacíos para ninguno:","Automatically translated"
"alpha transparency","transparencia alfa","Automatically translated"
"axis text options:","Opciones de texto del eje:","Automatically translated"
"bottom","abajo","Automatically translated"
"center","centro","Automatically translated"
"left","izquierda","Automatically translated"
"none","ninguno","Automatically translated"
"right","bien","Automatically translated"
"text to use as label on plot","texto para usar como etiqueta en la trama","Automatically translated"
"top","arriba","Automatically translated"
