label,translation
"Update Preview","Actualiser la vue"
"Height:","Hauteur :"
"Width:","Largeur :"
"Filename:","Nom de fichier :"
"Filename","Nom de fichier"
"Close","Fermer"
"More options","Plus d'options"
"Export chart","Export graphique"
"Export to PowerPoint failed...","Echec de l'export en PowerPoint"
"Export format:","Type de fichier :"
"Import data to create a graph","Importer des données"
"Display settings","Afficher les paramètres"
"Close Window","Fermer la fenêtre"
"Import data","Importer des données"
"Show data","Afficher les données"
"Labels & Title","Titre & libellés"
"Plot options","Options graphiques"
"Appearance","Apparence"
"Data","Données"
"Code","Code"
"Title:","Titre :"
"Title","Titre"
"Subtitle:","Sous-titre :"
"Subtitle","Sous-titre"
"Caption:","Légende :"
"Caption","Légende"
"X label:","Titre des abscisses :"
"X label","Titre des abscisses"
"Y label:","Titre des ordonnées :"
"Y label","Titre des ordonnées"
"Fill label:","Titre couleur remplissage :"
"Fill label","Titre couleur remplissage"
"Color label:","Titre couleur :"
"Color label","Titre couleur"
"Size label:","Titre taille :"
"Size label","Titre taille"
"Shape label:","Titre forme :"
"Shape label","Titre forme"
"Font face:","Police de caractères :"
"Font size:","Taille de la police :"
"Align:","Alignement :"
"Left","Gauche"
"Center","Centré"
"Right","Droite"
"Color:","Couleur :"
"Ribbon color:","Couleur du ruban :"
"Point symbol:","Symbole des points :"
"Theme:","Thème :"
"Legend position:","Position de la légende :"
"Add a smooth line:","Ajouter une droite de tendance :"
"Yes","Oui"
"No","Non"
"Smooth line span:","Quantité de lissage de la droite de tendance :"
"Size for points/lines:","Taille des points / lignes :"
"Facet scales:","Echelle des facettes :"
"Facet ncol:","Nombre de colonnes :"
"Facet nrow:","Nombre de lignes :"
"Numbers of bins:","Nombre d'emplacements :"
"Scale:","Echelle :"
"X-Axis limits (empty for none):","Limite des abscisses (vide pour pas de limite) :"
"X-Axis transform:","Transformation des abscisses :"
"Y-Axis limits (empty for none):","Limite des ordonnées (vide pour pas de limite) :"
"Y-Axis transform:","Transformation des ordonnées :"
"Bandwidth adjustment:","Ajustement de la densité :"
"Position:","Position :"
"Flip coordinate:","Inverser les coordonnées :"
"Copy to clipboard","Copier dans le presse-papier"
"Code:","Code :"
"Insert code in script","Insérer le code dans le script"
"Esquisse settings","Paramètres d'Esquisse"
"Select aesthetics to be used to build a graph:","Sélectionner les aesthetics à utiliser pour construire un graphique"
"Aesthetic mappings describe how variables in the data are mapped to visual properties (aesthetics) of geoms.","Les caesthetics décrivent comment les variables des données sont mises en correspondance avec les propriétés visuelles (aesthetics) dans le graphique."
"fill color for shapes","couleur de remplissage des formes"
"color points and lines","couleur pour les points et lignes"
"size of the points","taille des points"
"shape of the points","forme des points"
"frequency weights","pondération"
"identifies series of points with a grouping variable","identifie des séries de points avec une variable de regroupement"
"used in ribbons charts with ymax to display an interval between two lines","utilisé avec ymax pour afficher un intervalle entre deux lignes"
"used in ribbons charts with ymin to display an interval between two lines","utilisé avec ymin pour afficher un intervalle entre deux lignes"
"create small multiples","pour créer de petits multiples"
"create small multiples by rows","création d'une matrice de petits multiples par lignes"
"create small multiples by columns","création d'une matrice de petits multiples par colonnes"
"Dataset","Jeu de données"
"Jittered points:","Ajouter les points (dispersés) :"
