label,translation
"Update Preview","プレビューを更新"
"Height:","高さ:"
"Width:","幅:"
"Filename:","ファイル名:"
"Filename","ファイル名"
"Close","閉じる"
"More options","その他のオプション"
"Export chart"," グラフをエクスポート"
"Export to PowerPoint failed...","PowerPoint のエクスポートに失敗"
"Export format:","エクスポート形式:"
"Import data to create a graph","データをインポートしてグラフを作成"
"Display settings","表示設定"
"Close Window","ウィンドウを閉じる"
"Import data","データをインポート"
"Show data","データを表示"
"Labels & Title","ラベルとタイトル"
"Plot options","プロットのオプション"
"Appearance","外観"
"Data","データ"
"Code","コード"
"Title:","タイトル:"
"Title","タイトル"
"Subtitle:","サブタイトル:"
"Subtitle","サブタイトル"
"Caption:","キャプション:"
"Caption","キャプション"
"X label:","X軸のラベル:"
"X label","X軸のラベル"
"Y label:","Y軸のラベル:"
"Y label","Y軸のラベル"
"Fill label:","塗りつぶしのラベル:"
"Fill label","塗りつぶしのラベル"
"Color label:","色のラベル:"
"Color label","色のラベル"
"Size label:","サイズのラベル:"
"Size label","サイズのラベル"
"Shape label:","形のラベル:"
"Shape label","形のラベル"
"Font face:","フォントのラベル:"
"Font size:","フォントのラベル:"
"Align:","整列:"
"Left","左"
"Center","中央"
"Right","右"
"Color:","色:"
"Ribbon color:","リボンの色:"
"Point symbol:","点の記号:"
"Theme:","テーマ:"
"Legend position:","凡例の位置:"
"Add a smooth line:","smoonth line を追加:"
"Yes","はい"
"No","いいえ"
"Smooth line span:","smooth line の幅:"
"Size for points/lines:","点/線のサイズ:"
"Facet scales:","複数表示のスケール:"
"Facet ncol:","複数表示の行数:"
"Facet nrow:","複数表示の列数:"
"Numbers of bins:","ビンの数:"
"Scale:","スケール:"
"X-Axis limits (empty for none):","X軸の範囲 (何もない場合は空白):"
"X-Axis transform:","X軸の変換:"
"Y-Axis limits (empty for none):","Y軸の範囲 (何もない場合は空白):"
"Y-Axis transform:","Y軸の変換:"
"Bandwidth adjustment:","Bandwidth の調整:"
"Position:","位置:"
"Flip coordinate:","座標を反転:"
"Copy to clipboard","クリップボードにコピー"
"Code:","コード:"
"Insert code in script","スクリプト中にコードを挿入"
"Esquisse settings","Esquisse の設定"
"Select aesthetics to be used to build a graph:","グラフ作成に使用する aesthetics を選択"
"Aesthetic mappings describe how variables in the data are mapped to visual properties (aesthetics) of geoms.","aesthetics ではデータの変数をグラフでどのように表示するかを設定します。"
"fill color for shapes","図形の塗りつぶし"
"color points and lines","点と線の色使い"
"size of the points","点のサイズ"
"shape of the points","点の形状"
"frequency weights","頻度による重みづけ"
"identifies series of points with a grouping variable","グルーピング変数による点の識別"
"used in ribbons charts with ymax to display an interval between two lines","リボングラフで線の間隔を示すために ymax を使用"
"used in ribbons charts with ymin to display an interval between two lines","リボングラフで線の間隔を示すために ymin を使用"
"create small multiples","グラフを複数に分割"
"create small multiples by rows","行ごとにグラフを複数に分割"
"create small multiples by columns","列ごとにグラフを複数に分割"
"Dataset","データセット"
"Jittered points:","点に揺らぎを与える (ジッター) :"
"Use a color palette:","カラーパレットを使う:"
"Reverse the order of colors?","色の順序を逆にする?"
"Use specific colors:","特定の色を使う:"
