label,translation
Update Preview,업데이트 미리보기
Height:,높이:
Width:,길이:
Filename:,파일 이름:
Filename,파일 이름:
Close,닫기
More options,더 보기
Export chart,차트 내보내기
Export to PowerPoint failed...,PPT 내보내기
Export format:,포맷 내보내기
Import data to create a graph,데이터 불러오기
Display settings,보기 설정
Close Window,화면 닫기
Import data,데이터 불러오기
Show data,데이터 보기
Labels & Title,레이블 & 제목
Plot options,그래프 옵션
Appearance,보기 설정
Data,데이터
Code,코드
Title:,제목:
Title,제목:
Subtitle:,부제목:
Subtitle,부제목:
Caption:,주석:
Caption,주석:
X label:,X 레이블:
X label,X 레이블:
Y label:,Y 레이블:
Y label,Y 레이블:
Fill label:,레이블 채우기:
Fill label,레이블 채우기:
Color label:,레이블 색:
Color label,레이블 색:
Size label:,레이블 사이즈:
Size label,레이블 사이즈:
Shape label:,레이블 모양:
Shape label,레이블 모양:
Font face:,폰트:
Font size:,폰트 크기:
Align:,정렬:
Left,왼쪽
Center,가운데
Right,오른쪽
Color:,색:
Ribbon color:,리본 색:
Point symbol:,점 스타일:
Theme:,테마:
Legend position:,범례 위치:
Add a smooth line:,Smooth line 추가
Yes,예
No,아니오
Smooth line span:,Smooth line 폭
Size for points/lines:,점/선 크기
Facet scales:,다중 보기 축척:
Facet ncol:,다중 보기 행 수:
Facet nrow:,다중 보기 열 수:
Numbers of bins:,Numbers of bins:
Scale:,축척:
X-Axis limits (empty for none):,X축 제한 (없을 경우 비움):
X-Axis transform:,X축 변형:
Y-Axis limits (empty for none):,Y축 제한 (없을 경우 비움):
Y-Axis transform:,Y축 변형:
Bandwidth adjustment:,대역폭 조정:
Position:,위치:
Flip coordinate:,축 뒤집기:
Copy to clipboard,클립보드로 복사
Code:,코드:
Insert code in script,스크립트에 코드 추가
Esquisse settings,Esquisse 설정
Select aesthetics to be used to build a graph:,그래프 꾸미기 설정
Aesthetic mappings describe how variables in the data are mapped to visual properties (aesthetics) of geoms.,그래프 꾸미기는 데이터의 변수들이 그래프에서 어떻게 보일지 설정합니다.
fill color for shapes,모양에 색 채우기
color points and lines,점과 선애 색 사용
size of the points,점 크기
shape of the points,점 모양
frequency weights,빈도 가중치
identifies series of points with a grouping variable,그룹화 변수로 점 식별
used in ribbons charts with ymax to display an interval between two lines,리본 차트에서 두 줄 사이의 간격을 표시하기 위해 ymax 사용
used in ribbons charts with ymin to display an interval between two lines,리본 차트에서 두 줄 사이의 간격을 표시하기 위해 ymin 사용
create small multiples,차트를 여러개로 나눔
create small multiples by rows,열을 기준으로 차트를 여러개로 나눔
create small multiples by columns,행을 기준으로 차트를 여러개로 나눔
Dataset,데이터 셋
Jittered points:,Jitter 점:
Number of rows:,열 수
Number of cols:,행 수
Select a data.frame:,Data Frame 선택:
Select an environment in which to search:,찾을 환경 선택
Packages,패키지
Global Environment,전역 환경
No data selected!,데이터 선택되지 않음!
Use a data.frame from your environment or from the environment of a package.,사용자 환경이나 패키지로부터 data.frame을 불러와 사용하세요.
You can import %s files,%s 파일 불러오기 가능
List of data.frame...,data.frame 리스트
Please paste a valid GoogleSheet link in the dialog box above.,위의 상자에 유효한 GoogleSheet 링크를 붙여넣으세요.
Nothing pasted yet!,아무것도 붙여넣기되지 않음!
Please copy and paste some data in the dialog box above.,위의 상자에 데이터를 붙여넣으세요.
No file selected:,파일 선택되지 않음:
Validate,검증
Apply changes,적용
"Select, rename and convert variables in table above, then apply changes by clicking button below.","위의 표에서 변수를 선택하고, 이름을 변환한 다음 아래 버튼을 클릭하여 변경 사항을 적용하십시오."
Decimal separator:,소수점 구분 기호:
Date to use as origin to convert date/datetime:,날짜/날짜/시간을 변환하기 위해 원 데이터로 사용할 날짜:
Date format:,날짜 포맷:
Update,업데이트
View,보기
Import,불러오기
How to import data?,데이터 불러오기 방법
URL,URL
Googlesheets,Googlesheets
Copy / Paste,복사 / 붙여넣기
External file,외부 파일
Environment,환경 선택
Enter a shareable link to a GoogleSheet:,공유 가능한 GoogleSheet 링크:
"The URL that appear in your browser, in that case the current sheet will be read",브라우저에 나타난 URL을 붙여넣으면 현재 보고 있는 Sheet가 사용됩니다.
"A shareable link, in that case first sheet will be read",공유 가능한 링크에서는 첫번째 Sheet가 사용됩니다.
You can either use:,다음 중 선택:
Help,도움말
Add a label to data,데이터에 레이블 추가
Paste data here:,여기에 데이터 붙여넣기:
Select sheet to import:,불러올 Sheet 선택:
Encoding:,인코딩:
Number of rows to skip before reading data:,무시할 데이터 열 수 선택
No file selected,파일 선택되지 않음:
Browse...,찾기
Upload a file:,파일 업로드:
Select environment,환경 선택
Ooops,에러
Failed to retrieve Googlesheet ID,Googlesheet ID 불러오기 실패
Data successfully imported!,데이터 불러오기 성공
data has %s obs. of %s variables.,%s행 변수 %s
OK,OK
Failed,실패
Error,에러
Data has %s observations and %s variables.,%s행 %s 변수
No data to display.,화면에 나타낼 데이터 없음.
file not found: %s,파일 발견되지 않음: %s
 Data successfully updated!,데이터 업데이트 성공
