label,translation
Update Preview,업데이트 미리보기
Height:,높이:
Width:,길이:
Filename:,파일 이름:
Filename,파일 이름:
Close,닫기
More options,더 보기
Export chart,차트 내보내기
Export to PowerPoint failed...,PPT 내보내기
Export format:,포맷 내보내기
Import data to create a graph,데이터 불러오기
Display settings,보기 설정
Close Window,화면 닫기
Import data,데이터 불러오기
Show data,데이터 보기
Labels & Title,레이블 & 제목
Plot options,그래프 옵션
Appearance,보기 설정
Data,데이터
Code,코드
Title:,제목:
Title,제목:
Subtitle:,부제목:
Subtitle,부제목:
Caption:,주석:
Caption,주석:
X label:,X 레이블:
X label,X 레이블:
Y label:,Y 레이블:
Y label,Y 레이블:
Fill label:,레이블 채우기:
Fill label,레이블 채우기:
Color label:,레이블 색:
Color label,레이블 색:
Size label:,레이블 사이즈:
Size label,레이블 사이즈:
Shape label:,레이블 모양:
Shape label,레이블 모양:
Font face:,폰트:
Font size:,폰트 크기:
Align:,정렬:
Left,왼쪽
Center,가운데
Right,오른쪽
Color:,색:
Ribbon color:,리본 색:
Point symbol:,점 스타일:
Theme:,테마:
Legend position:,범례 위치:
Add a smooth line:,Smooth line 추가
Yes,예
No,아니오
Smooth line span:,Smooth line 폭
Size for points/lines:,점/선 크기
Facet scales:,다중 보기 축척:
Facet ncol:,다중 보기 행 수:
Facet nrow:,다중 보기 열 수:
Numbers of bins:,Numbers of bins:
Scale:,축척:
X-Axis limits (empty for none):,X축 제한 (없을 경우 비움):
X-Axis transform:,X축 변형:
Y-Axis limits (empty for none):,Y축 제한 (없을 경우 비움):
Y-Axis transform:,Y축 변형:
Bandwidth adjustment:,대역폭 조정:
Position:,위치:
Flip coordinate:,축 뒤집기:
Copy to clipboard,클립보드로 복사
Code:,코드:
Insert code in script,스크립트에 코드 추가
Esquisse settings,Esquisse 설정
Select aesthetics to be used to build a graph:,그래프 꾸미기 설정
Aesthetic mappings describe how variables in the data are mapped to visual properties (aesthetics) of geoms.,그래프 꾸미기는 데이터의 변수들이 그래프에서 어떻게 보일지 설정합니다.
fill color for shapes,모양에 색 채우기
color points and lines,점과 선애 색 사용
size of the points,점 크기
shape of the points,점 모양
frequency weights,빈도 가중치
identifies series of points with a grouping variable,그룹화 변수로 점 식별
used in ribbons charts with ymax to display an interval between two lines,리본 차트에서 두 줄 사이의 간격을 표시하기 위해 ymax 사용
used in ribbons charts with ymin to display an interval between two lines,리본 차트에서 두 줄 사이의 간격을 표시하기 위해 ymin 사용
create small multiples,차트를 여러개로 나눔
create small multiples by rows,열을 기준으로 차트를 여러개로 나눔
create small multiples by columns,행을 기준으로 차트를 여러개로 나눔
Dataset,데이터 셋
Jittered points:,Jitter 점:
Use a color palette:,색상 팔레트 사용:
Reverse the order of colors?,색상 순서를 반대로 하시겠습니까?
Use specific colors:,특정 색상 사용:
