"label","translation","comment"
"Align:","Wyrównanie:",
"Bandwidth adjustment:","Dostosowania przepustu:",
"Caption","Adnotacja",
"Caption:","Adnotacja:",
"Center","Do środka",
"Close","Zamknij",
"Close Window","Zamknij okno",
"Code","Kod",
"Code:","Kod:",
"Color label","Etykieta koloru",
"Color label:","Etykieta koloru:",
"Color:","Kolor:",
"Copy to clipboard","Kopiuj do schowka",
"Data","Dane",
"Dataset","Zbiór danych",
"Display settings","Pokaż ustawienia",
"Esquisse settings","Ustawienia Esquisse",
"Export chart","Eksportuj wykres",
"Export format:","Format eksportu:",
"Export to PowerPoint failed...","Eksport do PowerPoint zakończony niepowodzeniem...",
"Facet ncol:","Liczba kolumn fasetek:",
"Facet nrow:","Liczba wierszy fasetek:",
"Facet scales:","Skale fasetek:",
"Filename","Nazwa pliku",
"Filename:","Nazwa pliku:",
"Fill label","Etykieta wypełnienia",
"Fill label:","Etykieta wypełnienia:",
"Font face:","Krój pisma:",
"Font size:","Stopień pisma:",
"Height:","Wysokość:",
"Import data","Importuj dane",
"Import data to create a graph","Importuj dane do stworzenia wykresu",
"Insert code in script","Wskaw kod do skryptu",
"Labels & Title","Etykiety i tytuł",
"Left","Do lewej",
"More options","Więcej opcji",
"Numbers of bins:","Liczba słupków:",
"Position:","Pozycja:",
"Reverse the order of colors?","Odwrócić kolejność kolorów?",
"Ribbon color:","Kolor wstążki:",
"Right","Do prawej",
"Scale:","Skala:",
"Select aesthetics to be used to build a graph:","Wybierz estetyki do budowy wykresu:",
"Shape label","Etykieta kształtu",
"Shape label:","Etykieta kształtu:",
"Show data","Pokaż dane",
"Size label","Etykieta rozmiaru",
"Size label:","Etykieta rozmiaru:",
"Subtitle","Podtytuł",
"Subtitle:","Podtytuł:",
"Theme:","Motyw:",
"Title","Tytuł",
"Title:","Tytuł:",
"Update Preview","Odśwież podgląd",
"Use a color palette:","Użyj palety kolorów:",
"Use specific colors:","Użyj konkretnych kolorów:",
"Width:","Szerokość:",
"X label","Etykieta osi X",
"X label:","Etykieta osi X:",
"X-Axis transform:","Transformacja osi X:",
"Y label","Etykieta osi Y",
"Y label:","Etykieta osi Y:",
"Y-Axis transform:","Transformacja osi Y:",
"color points and lines","kolor punktów i linii",
"create small multiples","tworzy niewielkie oddzielne wykresy",
"create small multiples by columns","tworzy niewielkie oddzielne wykresy ustawione w kolumny",
"create small multiples by rows","tworzy niewielkie oddzielne wykresy ustawione w wiersze",
"fill color for shapes","kolor wypełnienia kształtów",
"frequency weights","wagi na podstawie częstości",
"identifies series of points with a grouping variable","identyfikuje punkty na podstawie zmiennej grupującej",
"shape of the points","kształt punktów",
"size of the points","rozmiar punktów",
"used in ribbons charts with ymax to display an interval between two lines","używane w wykresach wstążkowych z ymax do wyświetlenia odstępu między dwiema liniami",
"used in ribbons charts with ymin to display an interval between two lines","używane w wykresach wstążkowych z ymin do wyświetlenia odstępu między dwiema liniami",
"Aesthetic mappings describe how variables in the data are mapped to visual properties aesthetics of geoms.","Mapowania estetyczne opisują, w jaki sposób zmienne w danych są odwzorowywane na właściwości wizualne i estetykę obiektów geometrycznych.","Automatically translated"
"Always","Zawsze","Automatically translated"
"Angle:","Kąt:","Automatically translated"
"Axes","Osie","Automatically translated"
"Controls the amount of smoothing:","Kontroluje stopień wygładzenia:","Automatically translated"
"Create column","Utwórz kolumnę","Automatically translated"
"Cut numeric variable into factor","Przetnij zmienną numeryczną na współczynnik","Automatically translated"
"Display confidence interval around smooth","Wyświetl przedział ufności w okolicach gładkości","Automatically translated"
"Export","Eksport","Automatically translated"
"Geometries","Geometrie","Automatically translated"
"Horizontal justification:","Uzasadnienie poziome:","Automatically translated"
"Justification:","Uzasadnienie:","Automatically translated"
"Level of confidence interval to use:","Poziom przedziału ufności, który należy zastosować:","Automatically translated"
"Line width:","Szerokość linii:","Automatically translated"
"Never","Nigdy","Automatically translated"
"No data to display","brak danych do wyświetlenia","Automatically translated"
"Once per warning","Raz na ostrzeżenie","Automatically translated"
"Options","Opcje","Automatically translated"
"Show notifications when the plot generate a warning:","Pokaż powiadomienia, gdy fabuła wygeneruje ostrzeżenie:","Automatically translated"
"Size for points:","Rozmiar punktów:","Automatically translated"
"Size:","Rozmiar:","Automatically translated"
"Smoothing method:","Metoda wygładzania:","Automatically translated"
"Stat summary function:","Funkcja podsumowania statystyk:","Automatically translated"
"Theme","Temat","Automatically translated"
"Update & select variables","Aktualizuj i wybierz zmienne","Automatically translated"
"Update factor","Aktualizuj współczynnik","Automatically translated"
"Update variables","Aktualizuj zmienne","Automatically translated"
"Use {plotly} to render plot","Użyj {plotly}, aby wyrenderować fabułę","Automatically translated"
"Vertical justification:","Uzasadnienie pionowe:","Automatically translated"
"X-Axis limits empty for none:","Limity osi X puste dla żadnego:","Automatically translated"
"Y-Axis limits empty for none:","Limity osi Y puste dla żadnego:","Automatically translated"
"alpha transparency","przezroczystość alfa","Automatically translated"
"axis text options:","opcje tekstu osi:","Automatically translated"
"bottom","spód","Automatically translated"
"center","Centrum","Automatically translated"
"left","lewy","Automatically translated"
"none","nic","Automatically translated"
"right","Prawidłowy","Automatically translated"
"text to use as label on plot","tekst do użycia jako etykieta na działce","Automatically translated"
"top","szczyt","Automatically translated"
