label,translation
"Update Preview","Özizlemeyi Güncelle"
"Height:","Yükseklik :"
"Width:","Genişlik :"
"Filename:","Dosya Adı :"
"Filename","Dosya Adı"
"Close","Kapat"
"More options","DAha fazla seçenek"
"Export chart","Grafiği dışa aktar"
"Export to PowerPoint failed...","PowerPoint'e aktarım başarısız..."
"Export format:","Dışa aktarım şekli :"
"Import data to create a graph","Grafik oluşturmak için veri aktarın"
"Display settings","Görüntü ayarları"
"Close Window","Pencereyi Kapat"
"Import data","Veri Aktar"
"Show data","Veriyi Göster"
"Labels & Title","Etiketler & Başlık"
"Plot options","Çizim seçenekleri"
"Appearance","Görünüm"
"Data","Veri"
"Code","Kod"
"Title:","Başlık :"
"Title","Başlık"
"Subtitle:","Altbaşlık :"
"Subtitle","Altbaşlık"
"Caption:","Altyazı :"
"Caption","Altyazı"
"X label:","X etiketi :"
"X label","X etiketi"
"Y label:","Y etiketi :"
"Y label","Y etiketi"
"Fill label:","Dolgu etiketi :"
"Fill label","Dolgu etiketi"
"Color label:","Renk etiketi :"
"Color label","Renk etiketi"
"Size label:","Boyut etiketi :"
"Size label","Boyut etiketi"
"Shape label:","Şekil etiketi :"
"Shape label","Şekil etiketi"
"Font face:","Yazı tipi :"
"Font size:","Yazı boyutu :"
"Align:","Hizalama :"
"Left","Sol"
"Center","Orta"
"Right","Sağ"
"Color:","Renk :"
"Ribbon color:","Çubuk rengi :"
"Point symbol:","Nokta sembolü :"
"Theme:","Tema :"
"Legend position:","Açıklama konumu :"
"Add a smooth line:","Düzgün bir çizgi ekle :"
"Yes","Evet"
"No","Hayır"
"Smooth line span:","Düzgün çizgi aralığı :"
"Size for points/lines:","Noktalar/çizgilerin boyutu :"
"Facet scales:","Faset ölçekleri :"
"Facet ncol:","Faset sütun sayısı :"
"Facet nrow:","Faset satır sayısı :"
"Numbers of bins:","Bin sayısı :"
"Scale:","Ölçek :"
"X-Axis limits (empty for none):","X-Ekseni sınırları (seçmemek için boş bırakın) :"
"X-Axis transform:","X-Ekseni dönüşümü :"
"Y-Axis limits (empty for none):","Y-Ekseni sınırları (seçmemek için boş bırakın) :"
"Y-Axis transform:","Y-Ekseni dönüşümü :"
"Bandwidth adjustment:","Bant genişliği ayarı :"
"Position:","Konum :"
"Flip coordinate:","Koordinatı çevir :"
"Copy to clipboard","Panoya kopyala"
"Code:","Kod :"
"Insert code in script","Kodu betiğe ekle"
"Esquisse settings","Esquisse ayarları"
"Select aesthetics to be used to build a graph:","Grafik oluşturmak için kullanılacak görünümü seçin :"
"Aesthetic mappings describe how variables in the data are mapped to visual properties (aesthetics) of geoms.","Görünüm özellikleri değişkenlerin geom'lar üzerine nasıl yansıyacağını belirler."
"fill color for shapes","Şekil dolguları için renk"
"color points and lines","Noktaların ve çizgilerin rengi"
"size of the points","Noktaların boyutu"
"shape of the points","Noktaların şekli"
"frequency weights","Frekans ağırlıkları"
"identifies series of points with a grouping variable","Grup değişkeniyle noktaların bir serisi"
"used in ribbons charts with ymax to display an interval between two lines","ymax içeren grafiklerde iki çizgi arasındaki aralığı göstermek için kullanılır"
"used in ribbons charts with ymin to display an interval between two lines","ymin içeren grafiklerde iki çizgi arasındaki aralığı göstermek için kullanılır"
"create small multiples","küçük parçalar oluştur"
"create small multiples by rows","satırlara göre küçük parçalar oluştur"
"create small multiples by columns","sütunlara göre küçük parçalar oluştur"
"Dataset","Veri seti"
"Jittered points:","Yerleştirilmiş noktalar :"
