label,translation
Update Preview,منظر تازہ کریں
Height:,اونچائی:
Width:,لمبائی:
Filename:,فائل کا نام:
Filename,فائل کا نام
Close,بند کریں
More options,مزید آپشن
Export chart,چارٹ محفوظ کریں
Export to PowerPoint failed…,پاور پوانٹ محفوظ نہیں ہو سکی
Export format:,محفوظ کرنے کا فارمیٹ:
Import data to create a graph,گراف بنانے کی لیے ڈیٹا امپورٹ کریں
Display settings,دیکھنے کی سیٹنگز
Close Window,ونڈو بند کریں
Import data,ڈیٹا امپورٹ کریں
Show data,ڈیٹا دیکھیں
Labels & Title,لیبل اور عنوانات
Plot options,پلاٹ کے اختیارات
Appearance,شکل و صورت
Data,ڈیٹا
Code,کوڈ
Title:,عنوان:
Title,عنوان
Subtitle:,ذیلی عنوان:
Subtitle,ذیلی عنوان
Caption:,کیپشن:
Caption,کیپشن
X label:,ایکس کا لیبل:
X label,ایکس کا لیبل
Y label:,وائے کا لیبل:
Y label,وائے کا لیبل
Fill label:,بھرنے کا لیبل:
Fill label,بھرنے کا لیبل
Color label:,رنگ کا لیبل:
Color label,رنگ کا لیبل
Size label:,سائز کا لیبل:
Size label,سائز کا لیبل
Shape label:,شکل کا لیبل:
Shape label,شکل کا لیبل
Font face:,فانٹ کی شکل:
Font size:,فانٹ کا سائز:
Align:,سیدھ:
Left,بائیں
Center,درمیان
Right,دائیں
Color:,رنگ:
Ribbon color:,ربن کا رنگ:
Point symbol:,پوائنٹ کا شکل:
Theme:,تھیم:
Legend position:,لیجنڈ کی جگہ:
Add a smooth line:,ہموار لائن شامل کریں:
Yes,ہاں
No,نہیں
Smooth line span:,ہموار لائن کی مدت:
Size for points/lines:,پوائنٹ/لائن کا سائز :
Facet scales:,فیسٹ کا پیمانہ:
Facet ncol:,فیسٹ کے کالم:
Facet nrow:,فیسٹ کی رو:
Number of bins,بن کی تعداد
Scale:,پیمانہ:
X-Axis limits (empty for none):,ایکس ایکسز کی حد (بغیر موجودگی کے خالی):
X-Axis transform:,ایکس ایکسز کو بدلیں:
Y-Axis limits (empty for none):,وائے ایکسز کی حد (بغیر موجودگی کے خالی):
Y-Axis transform:,وائے ایکسز کو بدلیں:
Bandwidth adjustment:,بینڈ وتھ کا فیصلہ:
Position:,پوزیشن:
Flip coordinate:,کارزینیٹ پلٹیں:
Copy to clipboard,کلپ بورڈ پر کاپی کریں
Code:,کوڈ:
Insert code in script,کوڈ کو سکرپٹ میں داخل کریں
Esquisse settings,ایکسکیوزے کی سیٹنگز
Select aesthetics to be used to build a graph:,گراف میں شامل کی جانے والی جمالیات کو منتخب کریں:
Aesthetic mappings describe how variables in the data are mapped to visual properties (aesthetics) of geoms.,جمالیات کی میپنگ بتاتی ہے کیسے ڈیٹا کے ویری ایبل جیوم کی ظاہری خصیوصیات (جمالیات) کو پرکھتے ہیں
fill color for shapes,شیپ میں رنگ بھیریں
color points and lines,پوائنٹ اور لائن میں رنگ بھریں
size of the points,پوائنٹ کا سائز
shape of the points,پواینٹ کی شکل
frequency weights,فریکونسی کا وزن
identifies series of points with a grouping variable,گروپ ویر ایبل کے ساتھ بہت سارے پوایئٹ کی شناخت کرتا ہے
used in ribbons charts with ymax to display an interval between two lines,دو لائنوں میں وقفے کو ظاہر کرنے کے لیے ymax کے ساتھ ربن چارٹ میں استعمال ہوتا ہے
used in ribbons charts with ymin to display an interval between two lines,دو لائنوں میں وقفے کو ظاہر کرنے کے لیے ymin کے ساتھ ربن چارٹ میں استعمال ہوتا ہے
create small multiples,چھوٹے ملٹیپل بنائیں
create small multiples by rows,  رو کے حساب سےچھوٹے ملٹیپل بنائیں
create small multiples by columns,کالم کے حساب سےچھوٹے ملٹیپل بنائیں
Dataset,ڈیٹاسیٹ
Jittered points:,منتشر پوائنٹ:
Use a color palette:,رنگ پیلیٹ کا استعمال کریں:
Reverse the order of colors?,رنگوں کی ترتیب کو ریورس کریں؟
Use specific colors:,مخصوص رنگ استعمال کریں:
